user,review_word,word_type,chunked_sentence,example_sentence,openai_sentence
jones,All,,"His contention was denied by several bankers , including Scott Hudson of Sherman , Gaynor B. Jones of Houston , J. B. Brady of Harlingen and Howard Cox of Austin .",Jones likes to read books.
crore,All,,No example sentence found.,He won a crore in the lottery.
woven,All,,"The prize was an old-fashioned , woven cloth hammock , complete with cross-top pillow , fringed side pieces , and hooks for hanging .",The basket is woven tightly.
tract,All,,"One of the agreements calls for the New Eastwick Corp. to purchase a 1311 acre tract for $12,192,865 .",The farmer owns a large tract of land.
dalton,All,,"Gov. John M. Dalton , himself a lawyer and a man of long service in government , spoke with rich background and experience when he said in an address here that lawyers ought to quit sitting in the Missouri General Assembly , or quit accepting fees from individuals and corporations who have controversies with or axes to grind with the government and who are retained , not because of their legal talents , but because of their government influence .",Dalton's atomic theory is fundamental.
balsam,All,,No example sentence found.,Balsam smells very nice.
sarong,All,,No example sentence found.,She wore a colorful sarong.
woven,All,,"The prize was an old-fashioned , woven cloth hammock , complete with cross-top pillow , fringed side pieces , and hooks for hanging .",The basket is woven tightly.
sarong,All,,No example sentence found.,She wore a colorful sarong.
mimosa,All,,No example sentence found.,Mimosa leaves close when touched.
access,All,parents too get access to view the performance,Easier access ., I have access to many books.
