dict_matched_filtered_words,sentence,cleaned_sentence,chunked_sentence
healthy,"Food component Food items

Proteins
Carbohydrates =
Fats

Vitamins and minerals

|
Roughage

To grow well and stay healthy, we should
have a balanced diet.",Food component Food items  Proteins Carbohydrates  Fats  Vitamins and minerals   Roughage  To grow well and stay healthy we should have a balanced diet,to grow well and stay healthy we should have a
list," list the harmful effects
of rotten food.", list the harmful effects of rotten food,list the harmful effects of
revise,"aed Study Skills Seen

Complete the flow chart to revise the different components of food.",aed Study Skills Seen  Complete the flow chart to revise the different components of food,complete the flow chart to revise the different components of
correct,Tick (V) the correct option.,Tick V the correct option,tick v the correct option
powder,"2
Evnariantial | aa ;
/ + Experiential Learning

Test for the presence of fat

Collect a few groundnut seeds, a tablespoon each of coconut powder, rice,
mustard and cumin seeds.",2 Evnariantial  aa    Experiential Learning  Test for the presence of fat  Collect a few groundnut seeds a tablespoon each of coconut powder rice mustard and cumin seeds,a tablespoon each of coconut powder rice mustard and cumin
rich,Peas and eggs are rich in proteins.,Peas and eggs are rich in proteins,peas and eggs are rich in proteins
learnt,"Workbook Connect
For more practice of the skills and concepts you have learnt in this lesson, go to Altura Workbook 3, Chapter 2.",Workbook Connect For more practice of the skills and concepts you have learnt in this lesson go to Altura Workbook 3 Chapter 2,skills and concepts you have learnt in this lesson go
learn,Let us learn about the different components of food.,Let us learn about the different components of food,let us learn about the different components
mango,"Vitamins and Minerals

Mixed fruit salad

Things you will need: ¢ apple © orange ® grapes
© mango ® papaya ® banana ® honey

Method

Step 1: Wash and cut all the fruits into small
pieces and remove the seeds.",Vitamins and Minerals  Mixed fruit salad  Things you will need  apple  orange  grapes  mango  papaya  banana  honey  Method  Step 1 Wash and cut all the fruits into small pieces and remove the seeds,will need apple orange grapes mango papaya banana honey method
every,"Every state
My Prideg)

and union territory of India has its own unique and distinct food,
rr which reflects the countrys rich cultural
heritage and culinary traditions.",Every state My Prideg  and union territory of India has its own unique and distinct food rr which reflects the countrys rich cultural heritage and culinary traditions,every state my prideg and
code,"Virtual Tour

Scan the Q QR code and listen to the song to understand a we must
not eat junk food.",Virtual Tour  Scan the Q QR code and listen to the song to understand a we must not eat junk food,tour scan the q qr code and listen to the
what,What do these pictures tell you?,What do these pictures tell you,what do these pictures tell
food,"

Page nummber: 1
2 The Food We Eat

LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be

° carbohydrates  :
| game | |
proteins |
' wy )
;  '
The 5
Components fats eS }
food we =< o |
of food eta s  Zz
!",  Page nummber 1 2 The Food We Eat  LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be   carbohydrates    game   proteins   wy     The 5 Components fats eS  food we  o  of food eta s  Zz ,page nummber 1 2 the food we eat lesson schema
along,"=



Page nummber: 6
Water

Along with food, the body needs about 3 to 4 litres of
water daily, as nearly 70 per cent of the human body
is made up of water.",    Page nummber 6 Water  Along with food the body needs about 3 to 4 litres of water daily as nearly 70 per cent of the human body is made up of water,page nummber 6 water along with food the body
food,"

Page nummber: 1
2 The Food We Eat

LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be

° carbohydrates  :
| game | |
proteins |
' wy )
;  '
The 5
Components fats eS }
food we =< o |
of food eta s  Zz
!",  Page nummber 1 2 The Food We Eat  LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be   carbohydrates    game   proteins   wy     The 5 Components fats eS  food we  o  of food eta s  Zz ,page nummber 1 2 the food we eat lesson schema
answer,Answer the following questions.,Answer the following questions,answer the following questions
practice,"Workbook Connect
For more practice of the skills and concepts you have learnt in this lesson, go to Altura Workbook 3, Chapter 2.",Workbook Connect For more practice of the skills and concepts you have learnt in this lesson go to Altura Workbook 3 Chapter 2,workbook connect for more practice of the skills and
prefer,"Individual preferences: Some people prefer to eat vegetarian food, while
some others prefer to eat non-vegetarian food.",Individual preferences Some people prefer to eat vegetarian food while some others prefer to eat nonvegetarian food,individual preferences some people prefer to eat vegetarian food
pot,"With the help of an adult, take some moist soil in a pot.",With the help of an adult take some moist soil in a pot,some moist soil in a pot
let,Let us learn about the different components of food.,Let us learn about the different components of food,let us learn about the
she,"She requires a diet
rich in

a. vitamins and minerals.",She requires a diet rich in  a vitamins and minerals,she requires a diet rich
scurvy,"* Deficiency of vitamins causes diseases such as night blindness, scurvy and 
rickets.", Deficiency of vitamins causes diseases such as night blindness scurvy and  rickets,diseases such as night blindness scurvy and rickets
piece,"In which piece of the
newspaper did you observe an oily patch?",In which piece of the newspaper did you observe an oily patch,in which piece of the newspaper did
potatoes,"Foods such as rice, wheat, maize, bajra, sugar
and potatoes are rich in carbohydrates.",Foods such as rice wheat maize bajra sugar and potatoes are rich in carbohydrates,wheat maize bajra sugar and potatoes are rich in carbohydrates
fruit,"Vitamins and Minerals

Mixed fruit salad

Things you will need: ¢ apple © orange ® grapes
© mango ® papaya ® banana ® honey

Method

Step 1: Wash and cut all the fruits into small
pieces and remove the seeds.",Vitamins and Minerals  Mixed fruit salad  Things you will need  apple  orange  grapes  mango  papaya  banana  honey  Method  Step 1 Wash and cut all the fruits into small pieces and remove the seeds,vitamins and minerals mixed fruit salad things you will
most,"If cooked,
most of the vitamins present in them
are lost.",If cooked most of the vitamins present in them are lost,if cooked most of the vitamins present
to,"roughage
\ ee eT Cn Mae eats SRY IT ee ie a 4
ee Th

LEARNING OUTCOMES

At the end of this lesson, the learners will be able to:

_ * outline the necessity of food.",roughage  ee eT Cn Mae eats SRY IT ee ie a 4 ee Th  LEARNING OUTCOMES  At the end of this lesson the learners will be able to    outline the necessity of food,the learners will be able to outline the necessity of
activity,"Foods containing proteins are called

Na INCUB CIGESE

Fats

Activity 2

f ia?",Foods containing proteins are called  Na INCUB CIGESE  Fats  Activity 2  f ia,called na incub cigese fats activity 2 f ia
take,"Take a piece of apple and chew it till it becomes
tasteless.",Take a piece of apple and chew it till it becomes tasteless,take a piece of apple
tell,What do these pictures tell you?,What do these pictures tell you,what do these pictures tell you
will,"roughage
\ ee eT Cn Mae eats SRY IT ee ie a 4
ee Th

LEARNING OUTCOMES

At the end of this lesson, the learners will be able to:

_ * outline the necessity of food.",roughage  ee eT Cn Mae eats SRY IT ee ie a 4 ee Th  LEARNING OUTCOMES  At the end of this lesson the learners will be able to    outline the necessity of food,of this lesson the learners will be able to outline
fresh,"food items that are eaten raw

Fresh and Rotten Foods

We must eat fresh food.",food items that are eaten raw  Fresh and Rotten Foods  We must eat fresh food,items that are eaten raw fresh and rotten foods we
understand,"Activity 4
+ Experiential Learning
Let us understand what roughage Is.",Activity 4  Experiential Learning Let us understand what roughage Is,4 experiential learning let us understand what roughage is
chapter,"Workbook Connect
For more practice of the skills and concepts you have learnt in this lesson, go to Altura Workbook 3, Chapter 2.",Workbook Connect For more practice of the skills and concepts you have learnt in this lesson go to Altura Workbook 3 Chapter 2,go to altura workbook 3 chapter 2
out,Our bodies need energy to work and carry out various activities.,Our bodies need energy to work and carry out various activities,energy to work and carry out various activities
our,Our bodies need energy to work and carry out various activities.,Our bodies need energy to work and carry out various activities,our bodies need energy to
so,"5° | aM Sa So ee
2, proteins aaa!",5  aM Sa So ee 2 proteins aaa,5 am sa so ee 2 proteins aaa
too,"ae
energy given by carbohydrates a ay
Eating too much fat-rich food is harmful for the body.",ae energy given by carbohydrates a ay Eating too much fatrich food is harmful for the body,by carbohydrates a ay eating too much fatrich food is
unpleasant,"« Fresh food has a pleasant smell, while rotten food may have a strong and
unpleasant smell.", Fresh food has a pleasant smell while rotten food may have a strong and unpleasant smell,may have a strong and unpleasant smell
used,"Start easy with coriander plants that can be used in various dishes:

1.",Start easy with coriander plants that can be used in various dishes  1,coriander plants that can be used in various dishes 1
cut,"Vitamins and Minerals

Mixed fruit salad

Things you will need: ¢ apple © orange ® grapes
© mango ® papaya ® banana ® honey

Method

Step 1: Wash and cut all the fruits into small
pieces and remove the seeds.",Vitamins and Minerals  Mixed fruit salad  Things you will need  apple  orange  grapes  mango  papaya  banana  honey  Method  Step 1 Wash and cut all the fruits into small pieces and remove the seeds,method step 1 wash and cut all the fruits into
go,"Workbook Connect
For more practice of the skills and concepts you have learnt in this lesson, go to Altura Workbook 3, Chapter 2.",Workbook Connect For more practice of the skills and concepts you have learnt in this lesson go to Altura Workbook 3 Chapter 2,have learnt in this lesson go to altura workbook 3
outline,"roughage
\ ee eT Cn Mae eats SRY IT ee ie a 4
ee Th

LEARNING OUTCOMES

At the end of this lesson, the learners will be able to:

_ * outline the necessity of food.",roughage  ee eT Cn Mae eats SRY IT ee ie a 4 ee Th  LEARNING OUTCOMES  At the end of this lesson the learners will be able to    outline the necessity of food,learners will be able to outline the necessity of food
enough,Make sure that the seeds are far enough apart.,Make sure that the seeds are far enough apart,that the seeds are far enough apart
spoil,"For example, foods spoil if the weather is hot or if the food is not
stored properly.",For example foods spoil if the weather is hot or if the food is not stored properly,for example foods spoil if the weather is
fa,"[ Ne x >
' fa ath )

Refer to books or the Internet to know about junk food.", Ne x   fa ath   Refer to books or the Internet to know about junk food,ne x fa ath refer to books
poem,"Proteins

©
* Art-integrated Learning

Read the poem and identify the nutrient.",Proteins    Artintegrated Learning  Read the poem and identify the nutrient,proteins artintegrated learning read the poem and identify the nutrient
soft,"Age: Elderly people may like to eat food items that are soft and easy to
chew.",Age Elderly people may like to eat food items that are soft and easy to chew,eat food items that are soft and easy to chew
coastal,"Availability: People living in coastal areas generally eat a lot of fish and
other seafood as these foods are easily available.",Availability People living in coastal areas generally eat a lot of fish and other seafood as these foods are easily available,availability people living in coastal areas generally eat a
cause,"Eating stale or rotten
food can cause vomiting and/or diarrhoea.",Eating stale or rotten food can cause vomiting andor diarrhoea,stale or rotten food can cause vomiting andor diarrhoea
