word,word_type,chunked_sentence,masked_chunked_sentence,example_sentence,masked_example_sentence,openai_sentence,masked_openai_sentence
is,3_science_LS1,altura is hosted on mee macmillan,Altura ** hosted on mee macmillan,"The City Purchasing Department , the jury said , `` is lacking in experienced clerical personnel as a result of city personnel policies '' .","The city purchasing department , the jury said , `` ** lacking in experienced clerical personnel as a result of city personnel policies '' .",My cat is very fluffy.,My cat ** very fluffy.
dust,3_science_LS1,find out that air contains dust particles ng comprehension questions,Find out that air contains **** particles ng comprehension questions,"Moments later the V-1 skimmed across the landing strip , edging closer and closer to a touchdown -- then in a streamer of dust it landed .","Moments later the v-1 skimmed across the landing strip , edging closer and closer to a touchdown -- then in a streamer of **** it landed .",Please dust the shelves.,Please **** the shelves.
cut,3_science_LS1,and buffaloes first bite and cut leaves and grass into,And buffaloes first bite and *** leaves and grass into,"`` This is a very modest proposal cut to meet absolutely essential needs '' , he said , `` and with sufficient ' deductible ' requirements to discourage any malingering or unnecessary overcrowding of our hospitals .","`` this is a very modest proposal *** to meet absolutely essential needs '' , he said , `` and with sufficient ' deductible ' requirements to discourage any malingering or unnecessary overcrowding of our hospitals .",I cut paper with scissors.,I *** paper with scissors.
hygiene,3_science_LS1,hygiene we must practice good,******* we must practice good,"health , hygiene , medical aid and preventive medicine ; ;","Health , ******* , medical aid and preventive medicine ; ;", Brushing teeth is good hygiene., brushing teeth is good *******.
remember,3_science_LS1,see hear think b ex remember and do many other,See hear think b ex ******** and do many other,"The outgoing members , whose four-year terms will expire a week after the April 18 primary election , received carved wooden elephants , complete with ivory tusks , to remember the state committee by .","The outgoing members , whose four-year terms will expire a week after the april 18 primary election , received carved wooden elephants , complete with ivory tusks , to ******** the state committee by .",Remember to wash your hands.,******** to wash your hands.
millions,3_science_LS1,body is made up of millions of tiny structures called,Body is made up of ******** of tiny structures called,`` You take out of circulation many millions of dollars '' .,`` you take out of circulation many ******** of dollars '' .,There are millions of grains of sand.,There are ******** of grains of sand.
describe,3_science_LS1,describe mightioss birds ond waterbirds,******** mightioss birds ond waterbirds,The repeated efforts in Christian history to describe death as altogether the consequence of human sin show that these two aspects of death cannot be separated .,The repeated efforts in christian history to ******** death as altogether the consequence of human sin show that these two aspects of death cannot be separated .,Describe your favorite toy.,******** your favorite toy.
ten,3_science_LS1,b enews coensst need ears ten neng nou alee bare,B enews coensst need ears *** neng nou alee bare,"Prior to the featured race , the stewards announced that apprentice James P. Verrone is suspended ten days for crowding horses and crossing the field sharply in two races on Wednesday .","Prior to the featured race , the stewards announced that apprentice james p. verrone is suspended *** days for crowding horses and crossing the field sharply in two races on wednesday .",I have ten fingers.,I have *** fingers.
around,3_science_LS1,il pay a we world around us living and nonliving,Il pay a we world ****** us living and nonliving,"The secretary's greatest achievement is perhaps the rekindling of NATO realization that East-West friction , wherever it take place around the globe , is in essence the general conflict between two entirely different societies , and must be treated as such without regard to geographical distance or lack of apparent connection .","The secretary's greatest achievement is perhaps the rekindling of nato realization that east-west friction , wherever it take place ****** the globe , is in essence the general conflict between two entirely different societies , and must be treated as such without regard to geographical distance or lack of apparent connection .",We walked around the park.,We walked ****** the park.
fleshy,3_science_LS1,muscles are the soft and fleshy parts of the human,Muscles are the soft and ****** parts of the human,"He has measured the skinfolds ( the fleshy areas under the shoulder blades ) of Neapolitan firemen , studied the metabolism of Finnish woodcutters , analyzed the `` mealie-meal '' eaten by Capetown coloreds , and experimented on Minneapolis businessmen .","He has measured the skinfolds ( the ****** areas under the shoulder blades ) of neapolitan firemen , studied the metabolism of finnish woodcutters , analyzed the `` mealie-meal '' eaten by capetown coloreds , and experimented on minneapolis businessmen .",A peach is a fleshy fruit.,A peach is a ****** fruit.
