dict_matched_filtered_words,openai_sentence
hygiene, Brushing teeth is good hygiene.
journey, We went on a long journey.
initiative, Show initiative by starting first.
media, We watch TV on media.
conduct, Good conduct is always appreciated.
tang, Orange has a tangy taste.
summative, The test was summative.
bees, Bees make honey in hives.
ashamed, He felt ashamed of his mistake.
os, Windows is an operating system.
drape, The curtain will drape the window.
alure, The glittering jewels had allure.
technology, Phones use advanced technology.
walter, Walter is my friend's name.
necklace, She wore a shiny necklace.
butterfly, A butterfly has colorful wings.
succeed, Try hard and you will succeed.
ara, Ara is a type of bird.
dome, The building had a dome.
login, Enter your username to login.
quietly, Please sit quietly during class.
inquiry, We made an inquiry at the office.
vision, Glasses help improve vision.
foundation, Houses need a strong foundation.
label, Write your name on the label.
teddy, She hugged her teddy bear.
experiential, Learning by doing is experiential.
blowing, Wind is blowing outside.
leam, Leam means to learn.
wite, Wite is a color.
sparrow, A sparrow chirps in the garden.
adapt, Animals adapt to their environment.
pi, Pi is a mathematical constant.
personal, Keep your personal things tidy.
strive, Always strive for excellence.
ability, Everyone has a unique ability.
ah, Ah! That feels good.
preparatory, We had a preparatory class.
remedial, He took remedial classes to improve.
mobile, Mobile phones are convenient.
puzzle, Solve the puzzle to win.
saved, He saved money for later.
component, The engine has many components.
focus, Focus on your studies.
pill, Take this pill for fever.
drawn, He has drawn a nice picture.
bladder, The bladder stores urine.
platform, Stand on the platform to board.
wee, Babies wake up in the wee hours.
social, We play with our friends.
complex, Math problems can be complex.
holistic, A healthy diet is holistic.
collage, We made a collage in art class.
surrounding, Trees surround our house.
international, People from many countries are international.
technical, Fixing machines requires technical skills.
hood, The car has a hood.
dose, Take one dose of medicine.
infer, We infer the answer from clues.
emergency, Call 911 in an emergency.
crosscutting, Scissors are used for crosscutting.
management, Good management leads to success.
cycling, I love cycling in the park.
erect, The flagpole stands erect.
varied, The menu has varied options.
performance, She gave a great performance.
action," Run fast, it's action time."
indispensable, Water is indispensable for life.
feathered, Birds have feathered wings.
hub, The city is a hub of activity.
oneself, You should be yourself.
border, The fence marks the border.
curricular, Math is part of the curricular.
pant, The dog pants after running.
error, Correct the error in your homework.
pact, They made a pact to be friends forever.
national, Our flag represents our national identity.
deduce, We deduce the answer from clues.
peed, The dog peed on the tree.
lucid, His explanation was clear and lucid.
teaching, The teacher is teaching us math.
ureter, The ureter carries urine from kidneys.
worse, I feel worse today.
windpipe, The windpipe helps us breathe.
gift, She received a gift on her birthday.
enema, Doctors sometimes give enemas.
sot, A sot is a person who drinks too much.
hop, The rabbit likes to hop around.
tick, A tick is a small insect.
workbook, We complete exercises in our workbook.
feather, I found a feather on the ground.
biting, Be careful of biting dogs.
creative, Drawing is a creative activity.
affective, Hugs have an affective impact.
ethics, Good behavior is based on ethics.
approach, Let's take a different approach.
gaz, The gazelle runs in the field.
assets, Money and property are assets.
speaking, She's speaking on the phone.
clarity, He explained it with clarity.
manageable, My homework is manageable today.
yo," Yo, I can rap too."
cored, Mom cored the apple for me.
education, School is important for education.
ewe, The ewe is in the field.
progress, She shows progress in reading.
storybook, I love this storybook.
peacock, A peacock has colorful feathers.
awe, The magic show left us in awe.
advancing, He is advancing in math.
om," We say ""om"" in yoga."
engage, I engage in learning.
yoga, We do yoga in gym class.
achieve, You can achieve your goals.
thereby, We study and thereby learn.
completion, Completion of homework feels good.
differentiate, Can you differentiate the shapes?
ton, That looks like a ton of candy.
anne, Anne is my friend.
brad, Brad kicked the ball.
schema, My teacher talked about a schema.
bare, The tree is bare in winter.
unity, Our team has unity.
pad, I draw on my pad.
mab, Mab is a name in a story.
hypothesis, We made a hypothesis in science.
cane, Grandpa walks with a cane.
straw, I drink juice with a straw.
independently, I did the puzzle independently.
saving, I am saving my allowance.
manner, She has a kind manner.
toy, My favorite toy is a bear.
jenny, Jenny and I play together.
creativity, Painting shows your creativity.
lain, The cat has lain in the sun.
secure, Wear a helmet to be secure.
productivity, Being organized improves productivity.
carter, Carter found a bug.
rare, It's rare to see a blue moon.
educational, This game is educational.
enact, We enact a play in class.
identity, My badge shows my identity.
weave, Grandma can weave a basket.
safety, Always think about safety.
revise, Let's revise our essays.
badly, He felt badly after falling.
breakfast, I eat cereal for breakfast.
experimentation, Science is fun with experimentation.
ods," ""Odds"" could be a typo; a sentence might be ""The odds are good."""
increasingly, It's increasingly cold outside.
significant, The test had significant questions.
successfully, I successfully rode my bike.
comprehension, Reading improves your comprehension.
cur, A stray cur followed me home.
option, You have the option to choose.
android, My dad uses an android phone.
unscramble, Can you unscramble these letters?
id, I showed my ID at the library.
grade, I got a good grade on the test.
veal, Mom cooked veal for dinner.
suite, We stayed in a hotel suite.
aid, I offered aid to my friend.
magnitude, The magnitude of the problem was huge.
offering, The church is collecting offerings.
regular, He visits the park on a regular basis.
bite, Don't bite your nails.
grandfather, My grandfather tells great stories.
geared, He is geared up for the trip.
siena, Siena is a color or place in a story.
anus, The vet checked the dog's anus.
simpler, The puzzle is simpler than it looks.
understanding, She showed understanding of the lesson.
survey, We did a survey in class.
data, We collected data for a project.
tongs, Mom used tongs to flip the chicken.
crossword, Grandpa enjoys doing the crossword puzzle.
alter, You can alter your decision.
guilty, The dog looked guilty after eating the cake.
swallow, Don't forget to swallow your medicine.
pace, Keep a good pace while running.
beck, I came at my friend's beck.
food,  I like food a lot.
soap, Use soap to wash your hands.
sort, Let's sort the toys by color.
assign, The teacher will assign homework.
breakdown, Dad had a breakdown of the car's cost.
swimming, Swimming is fun in summer.
customs, We learned about different customs in school.
smartly, He dressed smartly for the interview.
audit, Dad went to an audit at work.
formative, Quizzes are formative assessments.
hew, We hew wood for the fireplace.
scenery, The mountain scenery is beautiful.
ward, He was in the hospital ward.
distinguish, Can you distinguish between these colors?
acetone, Mom uses acetone to remove nail polish.
background, The artist painted a blue background.
lifelong, She has a lifelong love for learning.
classroom, Our classroom is on the second floor.
psychomotor, My dance class improves psychomotor skills.
bouquet, Mom received a beautiful bouquet.
hoon," ""Hoon"" might be complex; can refer to fast driving."
analytics, Dad uses analytics at work.
injury, I got an injury during soccer.
FALSE, Saying the sky is green is false.
seer, A seer can predict the future.
riddle, I love solving a good riddle.
birthday, My birthday party is on Saturday.
becoming, She is becoming a great artist.
conceptual, We learned conceptual art in class.
efficiently, Mom packed the suitcase efficiently.
manage, I can manage my own homework.
curriculum, Our school follows a new curriculum.
collaboration, Collaboration makes the project easier.
saga, Grandpa told us an ancient saga.
net, We caught butterflies with a net.
usage, The teacher explained the usage of words.
bath, I take a bath before bed.
blended, We blended fruits for a smoothie.
odd, I saw an odd number of ducks.
irrespective, We play outside irrespective of the weather.
nave, The church nave was very large.
improvement, I see improvement in your writing.
commune, We will commune with nature on our hike.
practical, We did practical experiments in science.
watch, I will watch a movie tonight.
beautifully, She sang beautifully in the concert.
pride, I take pride in my artwork.
breeding, Dad talked about dog breeding.
never, I never saw a shooting star.
insert, Please insert your paper here.
precious, My teddy bear is precious to me.
salad, Mom made a cucumber salad.
gen," ""Gen"" can refer to generation or general."
throw, I can throw the ball far.
inflate, We inflate balloons for parties.
telling, Telling stories is fun at night.
theft, Theft is taking something that's not yours.
lath," ""Lath"" might be complex; could refer to construction."
tongue, My cat's tongue feels rough.
dependency, Baby birds have a dependency on their mom.
promote, We promote kindness in our class.
wreak, The storm can wreak havoc.
refer, Please refer to the book page.
assist, Can you assist me with this puzzle?
bead, I made a necklace with a bead.
improve, I want to improve my drawing.
diversity, Our school celebrates diversity.
peace, I wish for world peace.
june, My brother's birthday is in June.
junk, We should clean up the junk.
TRUE, It is true that water is wet.
locality, Our locality has a new park.
meaningful, The movie had a meaningful message.
park, We play at the park every day.
allocate, Mom will allocate chores to us.
cucumber, I like cucumber in my salad.
frame, We put the picture in a frame.
actual, The actual story was different.
generator, The generator powers our house.
homework, I do my homework after school.
ha," ""Ha"" can express surprise or laughter."
access, I have access to many books.
